19642.669922 ,39087.886719 ,38985.566406 ,39273.843750 ,39242.265625 ,38980.460938 ,39058.066406 ,39168.019531 ,39001.496094 ,39203.046875 ,38997.226562 ,38981.925781 ,38987.335938 ,38775.781250 ,38834.921875 ,39063.289062 ,39136.949219 ,38936.597656 ,39166.300781 ,39036.468750 ,39013.398438 ,39123.660156 ,39072.199219 ,38977.410156 ,38933.703125 ,38894.625000 ,39095.910156 ,38957.195312 ,39007.171875 ,39071.042969 ,39111.820312 ,38971.500000 ,39075.910156 ,38989.785156 ,39044.621094 ,39029.300781 ,39052.582031 ,39088.039062 ,38969.812500 ,39086.824219 ,39017.359375 ,39106.488281 ,39158.324219 ,38879.972656 ,39022.792969 ,38970.949219 ,38921.234375 ,38937.867188 ,39010.261719 ,38991.945312 ,39072.902344 ,39270.562500 ,39045.515625 ,39023.359375 ,39015.230469 ,39013.996094 ,38989.031250 ,38923.906250 ,39125.171875 ,39236.800781 ,39088.906250 ,38984.941406 ,39177.453125 ,19651.439453 ,
39032.144531 ,78194.617188 ,78128.734375 ,78296.359375 ,78003.757812 ,77914.171875 ,77863.890625 ,78138.257812 ,77992.289062 ,78287.890625 ,78115.664062 ,77974.390625 ,78518.210938 ,78069.132812 ,77847.226562 ,78048.882812 ,78344.054688 ,78129.289062 ,78254.695312 ,78200.125000 ,78188.031250 ,78058.710938 ,78088.156250 ,78034.953125 ,77997.882812 ,78092.875000 ,78141.203125 ,77913.234375 ,78201.898438 ,77934.570312 ,78212.453125 ,78215.250000 ,78308.351562 ,78017.953125 ,77883.367188 ,77824.023438 ,77790.687500 ,77980.445312 ,77749.609375 ,78022.898438 ,78160.562500 ,78004.250000 ,78005.992188 ,77842.382812 ,77813.453125 ,77976.218750 ,78159.437500 ,78038.851562 ,77882.257812 ,77789.968750 ,77989.773438 ,78303.156250 ,78324.093750 ,77990.687500 ,77966.937500 ,77955.421875 ,78147.914062 ,77910.695312 ,78321.164062 ,78155.781250 ,77970.187500 ,77821.523438 ,78306.367188 ,39104.511719 ,
39164.480469 ,77952.898438 ,78209.015625 ,78218.625000 ,78037.070312 ,77759.476562 ,78033.367188 ,78025.687500 ,78088.343750 ,78445.023438 ,78221.273438 ,77974.960938 ,77982.187500 ,77961.554688 ,78046.414062 ,77961.828125 ,78047.554688 ,78329.546875 ,78175.828125 ,78125.843750 ,78403.046875 ,78275.062500 ,77915.078125 ,77810.468750 ,78005.343750 ,77988.953125 ,78086.578125 ,78119.039062 ,77995.734375 ,78028.171875 ,78199.007812 ,78207.281250 ,78284.070312 ,78069.578125 ,77715.218750 ,77811.132812 ,77856.390625 ,77941.640625 ,78191.312500 ,77908.765625 ,78040.757812 ,77653.070312 ,77691.828125 ,77864.773438 ,77581.820312 ,78250.335938 ,78045.945312 ,77689.492188 ,78032.601562 ,78190.179688 ,78132.242188 ,78029.812500 ,77763.585938 ,77919.273438 ,78207.218750 ,78064.687500 ,78031.054688 ,78214.304688 ,77957.937500 ,78037.390625 ,78082.054688 ,78086.453125 ,78003.039062 ,39036.464844 ,
39083.378906 ,78113.968750 ,77922.945312 ,78106.210938 ,77981.187500 ,77751.468750 ,77794.664062 ,77842.523438 ,78153.835938 ,78358.859375 ,78202.687500 ,77934.000000 ,77686.875000 ,77999.375000 ,78169.460938 ,77899.179688 ,77776.742188 ,77789.187500 ,77944.570312 ,78162.070312 ,78173.054688 ,78403.351562 ,78036.484375 ,77987.929688 ,78195.984375 ,78074.609375 ,78085.867188 ,78119.539062 ,78122.671875 ,78144.890625 ,78017.109375 ,78022.617188 ,78205.648438 ,78244.070312 ,77960.242188 ,78297.609375 ,78034.210938 ,77956.820312 ,77783.156250 ,77932.976562 ,77990.398438 ,78002.929688 ,77849.046875 ,78219.062500 ,77925.101562 ,78310.843750 ,78202.359375 ,78115.554688 ,78110.906250 ,77969.843750 ,78116.812500 ,78151.898438 ,78111.156250 ,77917.773438 ,78169.718750 ,77943.968750 ,78037.296875 ,78443.960938 ,77898.070312 ,77889.578125 ,78048.265625 ,78224.882812 ,78088.140625 ,39143.816406 ,
38889.394531 ,77909.335938 ,78436.648438 ,78289.078125 ,78126.265625 ,77861.554688 ,77828.429688 ,77983.617188 ,78295.789062 ,78053.179688 ,78152.046875 ,77961.875000 ,78142.382812 ,78068.164062 ,78023.914062 ,78268.851562 ,77750.703125 ,77869.273438 ,77683.789062 ,78058.898438 ,78340.664062 ,78055.648438 ,78289.546875 ,78168.296875 ,78008.500000 ,78235.445312 ,78066.023438 ,78068.187500 ,78220.953125 ,78487.773438 ,78173.031250 ,78210.046875 ,78004.992188 ,78500.687500 ,78090.398438 ,78129.976562 ,78071.859375 ,78049.562500 ,78014.554688 ,77918.062500 ,77938.132812 ,78054.320312 ,78016.750000 ,78073.406250 ,77915.015625 ,78282.671875 ,78079.125000 ,77810.781250 ,78171.421875 ,78004.835938 ,78040.757812 ,78157.945312 ,78091.281250 ,77975.921875 ,77973.898438 ,77837.296875 ,78135.257812 ,78072.781250 ,77836.101562 ,77907.695312 ,78597.070312 ,78230.851562 ,78296.468750 ,38839.613281 ,
38896.324219 ,78169.851562 ,78409.140625 ,77837.632812 ,78008.210938 ,78235.867188 ,77963.328125 ,77950.625000 ,77906.539062 ,78324.929688 ,78131.375000 ,77809.570312 ,78429.921875 ,78170.109375 ,77904.406250 ,78094.171875 ,78364.484375 ,78537.242188 ,78352.093750 ,78305.960938 ,78050.171875 ,77972.906250 ,78429.656250 ,78117.742188 ,78035.312500 ,78026.164062 ,77743.515625 ,77610.593750 ,77811.039062 ,78457.226562 ,78340.148438 ,78237.281250 ,78110.757812 ,78458.492188 ,78030.890625 ,78067.281250 ,77997.398438 ,78198.789062 ,78282.726562 ,78017.289062 ,77981.664062 ,78066.609375 ,77623.609375 ,77837.984375 ,78098.835938 ,78389.765625 ,78204.906250 ,78053.390625 ,77990.351562 ,77983.859375 ,78021.078125 ,78058.351562 ,78186.914062 ,78132.437500 ,78009.867188 ,77942.804688 ,77980.609375 ,78033.765625 ,77855.000000 ,78145.601562 ,78373.062500 ,77985.757812 ,78062.218750 ,38882.898438 ,
39021.144531 ,78278.765625 ,78264.234375 ,78037.593750 ,78043.437500 ,78246.968750 ,78081.882812 ,77942.500000 ,77782.218750 ,78111.359375 ,78228.867188 ,77971.640625 ,78106.851562 ,78120.953125 ,78519.976562 ,78084.601562 ,77938.945312 ,78329.445312 ,78430.484375 ,78257.648438 ,77912.953125 ,78061.703125 ,78178.265625 ,78063.460938 ,78019.890625 ,78058.328125 ,78070.218750 ,77786.101562 ,77991.937500 ,78067.625000 ,78202.515625 ,77792.093750 ,78117.296875 ,78343.414062 ,77851.914062 ,77944.500000 ,78033.398438 ,77843.500000 ,78124.476562 ,78178.367188 ,78157.562500 ,78175.125000 ,77783.382812 ,77986.265625 ,77997.289062 ,78051.968750 ,77804.796875 ,77926.898438 ,78196.351562 ,78328.828125 ,78166.398438 ,78319.609375 ,78066.414062 ,78028.421875 ,78176.859375 ,78242.007812 ,78047.632812 ,77928.718750 ,78124.312500 ,77859.984375 ,77902.234375 ,78202.125000 ,78316.023438 ,39118.871094 ,
39035.742188 ,78182.757812 ,77939.593750 ,78088.437500 ,78200.210938 ,77946.179688 ,78023.601562 ,78146.445312 ,77728.476562 ,77867.132812 ,78092.203125 ,78009.640625 ,78082.601562 ,78065.734375 ,78331.726562 ,78217.562500 ,77990.718750 ,77996.906250 ,78194.546875 ,78195.625000 ,78298.289062 ,78102.312500 ,78178.687500 ,78002.703125 ,77860.789062 ,77955.289062 ,78004.515625 ,78017.507812 ,78605.367188 ,78048.039062 ,77913.289062 ,77900.000000 ,77594.765625 ,77726.601562 ,77918.484375 ,78174.976562 ,78110.640625 ,78040.609375 ,78210.257812 ,78182.125000 ,78200.445312 ,78258.867188 ,77892.554688 ,77979.000000 ,78132.773438 ,78368.039062 ,78109.085938 ,77857.820312 ,77929.921875 ,78200.953125 ,78185.109375 ,78011.882812 ,78057.687500 ,78022.523438 ,77838.125000 ,78058.390625 ,77937.500000 ,78130.984375 ,78109.671875 ,78200.031250 ,78176.789062 ,78181.171875 ,78194.960938 ,39015.960938 ,
39046.003906 ,78178.859375 ,77798.335938 ,77734.109375 ,77981.859375 ,77896.375000 ,78160.039062 ,78102.968750 ,78223.546875 ,78044.609375 ,77904.125000 ,78024.585938 ,78155.578125 ,78008.140625 ,78160.375000 ,78330.914062 ,78106.226562 ,78225.156250 ,77933.773438 ,78030.648438 ,78164.781250 ,77937.101562 ,78395.687500 ,77794.992188 ,77945.234375 ,78377.953125 ,78405.515625 ,77906.578125 ,78471.898438 ,78439.164062 ,78218.468750 ,78019.640625 ,78297.296875 ,78132.859375 ,78205.148438 ,78130.406250 ,78040.414062 ,78047.843750 ,78352.171875 ,78138.992188 ,77902.398438 ,78218.335938 ,78404.984375 ,78221.187500 ,77980.570312 ,78443.796875 ,78074.015625 ,78183.195312 ,78218.460938 ,78020.773438 ,78146.726562 ,78088.875000 ,78118.953125 ,77773.406250 ,77865.593750 ,77988.609375 ,78101.343750 ,78068.492188 ,78046.531250 ,78039.312500 ,78028.710938 ,78155.125000 ,78064.578125 ,39190.976562 ,
38966.964844 ,77931.046875 ,78292.851562 ,78360.484375 ,78291.820312 ,77991.304688 ,77684.015625 ,77759.031250 ,78245.882812 ,78316.250000 ,77739.718750 ,77942.539062 ,78025.960938 ,78089.851562 ,78288.554688 ,78104.812500 ,77879.500000 ,78064.070312 ,78196.921875 ,77925.226562 ,78240.453125 ,77940.765625 ,78095.843750 ,78440.046875 ,78248.429688 ,78323.765625 ,78040.953125 ,77786.664062 ,78176.023438 ,78140.406250 ,78062.968750 ,78223.750000 ,78273.609375 ,78513.234375 ,78188.179688 ,77910.296875 ,78172.007812 ,78281.460938 ,78173.710938 ,78019.054688 ,77949.421875 ,77916.843750 ,78234.117188 ,78170.101562 ,78191.218750 ,78615.156250 ,78328.226562 ,77867.117188 ,78054.640625 ,77952.640625 ,78147.226562 ,78175.039062 ,77833.843750 ,78095.945312 ,77937.625000 ,78106.914062 ,78021.531250 ,78183.742188 ,77702.750000 ,77865.468750 ,77826.359375 ,77892.750000 ,78207.781250 ,39207.050781 ,
